"CASE_ID","MERCHANT_ID","OPENED_DATE","CASE_CATEGORY","PRIORITY","CASE_THEME","CASE_TEXT"
"CS-000001",4526,"2025-06-23","Account Administration","P4 - Low","account_admin","Need to change email address ASAP, old one bounced and I'm missing statements. Can't access portal either."
"CS-000002",97,"2025-08-12","Account Administration","P4 - Low","account_admin","Closing our Porto location end of month, terminal needs collecting. Still being charged fees for it though aren't I."
"CS-000003",91216,"2025-07-06","Account Administration","P4 - Low","account_admin","Added new manager last week but she still can't log in to see transactions. This is taking too long."
"CS-000004",117918,"2025-07-23","Account Administration","P4 - Low","account_admin","Business name changed from GmbH to UG three months ago, still shows old name on statements. Legal issue if this continues."
"CS-000005",215733,"2025-08-24","Account Administration","P4 - Low","account_admin","Where are my June statements? Need them for accountant by Friday and can't find them anywhere in the portal."
"CS-000006",106944,"2025-07-25","Account Administration","P4 - Low","account_admin","Moving premises in Dublin, need to update address before next statement or mail goes to wrong place again."
"CS-000007",60248,"2025-07-03","Account Administration","P3 - Medium","account_admin","Requested user access for my bookkeeper 5 days ago, ticket 47829, still nothing. She needs to reconcile €23,000 in Visa transactions from last week."
"CS-000008",56003,"2025-08-03","Account Administration","P4 - Low","account_admin","Our Brussels shop closed in June but you're still charging me €45 monthly rental on that terminal. Want refund."
"CS-000009",1049480,"2025-08-28","Account Administration","P4 - Low","account_admin","Changed mobile number, can't receive 2FA codes now. Locked out since Tuesday morning."
"CS-000010",164354,"2025-09-12","Account Administration","P4 - Low","account_admin","Need statement copy for September 2023, bank requires it for loan application. Urgent."
"CS-000011",940490,"2025-06-07","Account Administration","P4 - Low","account_admin","Registered new location in Athens two weeks back, no terminal arrived yet. Losing sales every day without card machine."
"CS-000012",1835731,"2025-09-13","Account Administration","P4 - Low","account_admin","Email address on file is wrong, been trying to update it for a week. Missing important notifications about chargebacks."
"CS-000013",14322,"2025-08-18","Account Administration","P4 - Low","account_admin","Adding second location in Lyon, need separate reporting for each shop. Current setup lumping everything together makes accounting nightmare."
"CS-000014",214771,"2025-08-06","Account Administration","P4 - Low","account_admin","Business partner left, need to remove his portal access immediately. Security concern."
"CS-000015",105741,"2025-08-17","Account Administration","P4 - Low","account_admin","Sold the café in Amsterdam, close that account. Final statement shows €340 in fees I shouldn't be paying anymore."
"CS-000016",353439,"2025-09-28","Account Administration","P4 - Low","account_admin","Updated company registration number with you twice already, still incorrect on invoices. Tax office flagging this."
"CS-000017",187062,"2025-07-13","Account Administration","P3 - Medium","account_admin","New employee needs access to view transactions only, not full admin. How long does this take?"
"CS-000018",583518,"2025-09-16","Account Administration","P4 - Low","account_admin","Closed our Galway location last month, return label for terminal never arrived. What's the process here?"
"CS-000019",165875,"2025-09-01","Account Administration","P4 - Low","account_admin","Changed business address in portal but statements still going to old address in Munich. Fix this."
"CS-000020",86460,"2025-08-01","Account Administration","P3 - Medium","account_admin","Need all statements from 2024 for audit, can only download three months at a time. There must be easier way."
"CS-000021",775741,"2025-08-05","Account Administration","P4 - Low","account_admin","Adding third location in Barcelona, need pricing breakdown per site not combined. Current statements useless for management."
"CS-000022",16217,"2025-07-13","Account Administration","P3 - Medium","account_admin","Phone number on account is from previous owner, been trying to change it since takeover in June. Still getting his calls."
"CS-000023",3206,"2025-07-11","Account Administration","P4 - Low","account_admin","Closing account entirely, selling business next week. Need final statement showing all Mastercard transactions through yesterday."
"CS-000024",1193313,"2025-08-22","Account Administration","P4 - Low","account_admin","Can't add new user, system says email already exists but she's never had access. Been stuck on this since Monday."
"CS-000025",84707,"2025-06-26","Account Administration","P4 - Low","account_admin","Moved shop across street in Lisbon, updated address but terminal still registered to old location. Causing issues with delivery companies."
"CS-000026",7219,"2025-09-08","Account Administration","P4 - Low","account_admin","Merchant requested update to primary contact email address from old domain to new domain effective immediately. Change processed and confirmation sent to both addresses for verification purposes."
"CS-000027",1951,"2025-08-26","Account Administration","P4 - Low","account_admin","Business owner called to add secondary user with full administrative access to online portal. Provided new user's email address and mobile number for two-factor authentication setup."
"CS-000028",1212,"2025-06-05","Account Administration","P4 - Low","account_admin","Merchant submitted request to update registered business name from sole trader designation to limited company structure following incorporation on 15th June 2024. Requested all future statements and correspondence reflect new legal entity name."
"CS-000029",975753,"2025-08-12","Account Administration","P4 - Low","account_admin","Request received to close location in Lyon that ceased trading on 28th June 2024. Merchant confirmed final settlement of €2,847.63 was received and terminal model V400m was returned via courier on 4th June 2024."
"CS-000030",267051,"2025-07-17","Account Administration","P3 - Medium","account_admin","Merchant called requesting copy of June 2024 statement showing total Mastercard transaction volume of €18,456.20 across 347 transactions for tax filing purposes."
"CS-000031",1232825,"2025-08-22","Account Administration","P3 - Medium","account_admin","Business owner requested addition of new trading location in Porto opening 1st May 2024. Provided business address, estimated monthly card volume of €12,000, and requested two Clover Flex terminals for counter service."
"CS-000032",55770,"2025-06-02","Account Administration","P3 - Medium","account_admin","Merchant emailed to update billing contact telephone number from mobile ending 4782 to landline number for accounts payable department. Change effective from next billing cycle commencing 1st July 2024."
"CS-000033",1082086,"2025-06-24","Account Administration","P4 - Low","account_admin","Request to add read-only user access for external accountant to view statements and transaction reports. Merchant specified access should exclude terminal management and settlement account modifications."
"CS-000034",2962,"2025-06-08","Account Administration","P4 - Low","account_admin","Business owner requested closure of account for location in Brussels that processed final transaction on Friday 8th June 2024 at 17:43. Confirmed outstanding balance of €127.35 to be settled to registered bank account."
"CS-000035",317578,"2025-06-03","Account Administration","P4 - Low","account_admin","Merchant submitted formal request to change registered business address from Dublin 2 to Dublin 8 following office relocation completed on 11th June 2024. Requested updated documentation be sent to new address."
"CS-000036",10043,"2025-06-14","Account Administration","P4 - Low","account_admin","Called to request duplicate statement for September 2023 showing Visa transaction fees totaling €1,247.89 and Mastercard fees of €983.45 for year-end reconciliation."
"CS-000037",6553,"2025-07-15","Account Administration","P4 - Low","account_admin","Business owner requested addition of third location in Munich opening mid-July 2024 with anticipated monthly volume of €25,000 across approximately 600 transactions. Requested three terminals and contactless payment capability."
"CS-000038",971780,"2025-07-28","Account Administration","P4 - Low","account_admin","Merchant emailed to update primary contact person from retiring operations manager to newly appointed finance director effective 1st July 2024. Provided new contact's email and direct telephone number."
"CS-000039",56133,"2025-06-19","Account Administration","P3 - Medium","account_admin","Request received to close secondary location in Athens that has processed zero transactions since June 2024. Merchant confirmed terminal model PAX A920 will be returned within five business days."
