"FEEDBACK_ID","MERCHANT_ID","FEEDBACK_DATE","RATING","FEEDBACK_THEME","FEEDBACK_TEXT"
"FB-000001",746736,"2025-06-04",3,"fees_transparency","Hi, I'm quite new to accepting cards and I noticed a €47.50 charge on my June statement labeled ""scheme fees"" – could you explain what that covers exactly?"
"FB-000002",1196931,"2025-07-19",2,"fees_transparency","We just started taking card payments last month and the invoice shows interchange at €89.20 and something called acquirer margin at €34.80, but I'm not sure what the difference is between these two?"
"FB-000003",12321,"2025-08-26",3,"fees_transparency","Hello, I saw a €12 monthly charge for the terminal on my statement but I thought the rental was €8 – is there VAT on top or is this a different fee?"
"FB-000004",1507,"2025-07-24",3,"fees_transparency","I'm trying to understand my first statement and there are about six different line items with percentages and fixed amounts – is there a guide that explains what each one means?"
"FB-000005",7520,"2025-07-27",2,"fees_transparency","Quick question: we processed around 340 transactions in June and the total fees came to €287, but when I try to calculate it using the rate you quoted me I get a different number – what am I missing?"
"FB-000006",4601,"2025-06-26",3,"fees_transparency","Could someone help me understand the €3.50 charge that appears every week on Mondays? I can't find any mention of it in my contract."
"FB-000007",84658,"2025-08-14",3,"fees_transparency","We've been accepting Visa and Mastercard for two months now and I notice the fees vary quite a bit per transaction – is that normal or should they be consistent?"
"FB-000008",57236,"2025-06-02",3,"fees_transparency","There's a line on my statement saying ""cross-border interchange"" for €23.40 and I'm not sure what transactions that relates to – can you clarify?"
"FB-000009",1929939,"2025-08-16",3,"fees_transparency","I'm new to this and trying to reconcile my accounts, but I don't understand why some transactions cost me 1.2% and others cost nearly 2.8% when I thought my rate was fixed?"
"FB-000010",1053216,"2025-08-20",3,"fees_transparency","Just received my July statement and there's a €15 gateway fee I wasn't expecting – is that charged every month or just the first one?"
"FB-000011",310223,"2025-09-12",3,"fees_transparency","Hi, we only started taking cards three weeks ago and I see charges for ""Mastercard assessments"" and ""Visa scheme fees"" separately – are these both necessary?"
"FB-000012",320649,"2025-08-06",3,"fees_transparency","Could you break down the difference between what you charge and what goes to the card companies? I'm looking at my statement and honestly can't tell which is which."
"FB-000013",802,"2025-09-03",2,"fees_transparency","I was quoted 1.5% when I signed up but my effective rate last month was 2.1% according to my calculations – what additional fees am I not accounting for?"
"FB-000014",1936227,"2025-07-23",2,"fees_transparency","There's a €6.20 charge on my statement from the 14th of last month labeled ""PCI compliance"" – is this an annual thing or monthly, and what exactly is it for?"
"FB-000015",801708,"2025-07-12",3,"fees_transparency","We processed our first American Express transaction last Tuesday and the fee was much higher than for Visa – is that expected and should I have been told about different rates for different cards?"
"FB-000016",4333,"2025-06-04",3,"fees_transparency","I'm quite confused by my June invoice because there are authorization fees listed separately at €0.08 each – I thought that was included in the percentage rate?"
"FB-000017",1668331,"2025-06-05",2,"fees_transparency","Hello, I've been accepting payments for five weeks and just got charged €28 for something called ""terminal support"" but nobody mentioned this when I signed up – is this standard?"
"FB-000018",1228771,"2025-08-08",3,"fees_transparency","Can someone explain why I'm seeing both a percentage fee and a fixed fee per transaction? I assumed it would be one or the other."
"FB-000019",5528,"2025-07-05",2,"fees_transparency","My statement shows €156 in interchange fees and €67 in acquirer fees for June – which part of this is your profit and which goes elsewhere?"
"FB-000020",27176,"2025-08-26",3,"fees_transparency","I noticed a €4.90 charge every Friday and I think it might be related to my payment gateway but I'm not certain – could you check what this is?"
"FB-000021",247260,"2025-06-07",2,"fees_transparency","We're a small café and just started with card payments, and I'm seeing charges for ""blended rate"" and ""interchange++"" on different transactions – I thought I was on one pricing model?"
"FB-000022",8789,"2025-09-25",2,"fees_transparency","There's a debit of €31.20 labeled ""monthly minimum"" on my statement but we processed over €8,000 last month so I'm not sure why this applies?"
"FB-000023",365500,"2025-06-06",3,"fees_transparency","Quick question about my Clover Flex – is the €9.50 monthly charge just for the rental or does that include something else like insurance?"
"FB-000024",426364,"2025-06-14",3,"fees_transparency","I'm trying to understand my costs better and I see that business credit cards seem to cost me more than regular ones – is there a way to know in advance which transactions will be more expensive?"
"FB-000025",82339,"2025-09-12",3,"fees_transparency","Could you help me understand the difference between domestic and international interchange? My statement shows both and I'm not sure which of my customers' cards fall into which category."
"FB-000026",28025,"2025-09-19",2,"fees_transparency","We run three coffee shops in Dublin and the fees at our Grafton Street location are consistently €140 higher per month than the other two, even though transaction volumes are similar. Can someone explain what's driving this difference?"
